지점명,매장주소
제천,충청북도 제천시 용두천로 140 (교동)
증평,충청북도 증평군 증평읍 중앙로 179 (창동리)
진천,"충청북도 진천군 진천읍 원덕로 313  1층 104,105호"
상당,"충청북도 청주시 청원구 공항로 101, 1층 103호 (율량동, 은곡빌딩)"
오송,"충청북도 청주시 흥덕구 오송읍 오송생명로 208-9 리움갤러리96 102,103호"
오창,충청북도 청주시 청원구 오창읍 과학산업2로 363 신우에비뉴엘빌딩 103호
청주가경,충청북도 청주시 흥덕구 2순환로 1130 스타쁠레르빌딩 1층 도미노피자
청주산남,충청북도 청주시 서원구 구룡산로 237
청주용암,충청북도 청주시 상당구 단재로 123 (영운동)
청주충북대,충청북도 청주시 서원구 1순환로 684 (사창동)
서충주신도시,"충청북도 충주시 중앙탑면 기업도시로 189 미진이지비아 120(상가)동 1층 105,106호"
충주,충청북도 충주시 갱고개로 158
송촌,대전광역시 대덕구 계족산로 25 (중리동)
신탄진,대전광역시 대덕구 신탄진로 800-1 (신탄진동)
가오,대전광역시 동구 은어송로 75 (가오동)
대전대동,대전광역시 동구 계족로 194-37 (대동)
대전도안,대전광역시 서구 도안동로 31번길 11-15
대전용문,"대전광역시 서구 도산로 335, 1층 (용문동)"
대전월평,"대전광역시 서구 월평로 69, 1층 (월평동)"
둔산,대전광역시 서구 문정로 170 (둔산동)
대덕,"대전광역시 유성구 와룡로 3, 비씨엠빌딩 1층 (송강동)"
대전노은,대전광역시 유성구 노은동로240번길 67 (지족동)
유성,대전광역시 유성구 어은로 44 (어은동)
대전유천,대전광역시 중구 계백로 1606-1
거제고현,경상남도 거제시 거제중앙로 1808-1  1층
거제수양,"경상남도 거제시 해명로 22-10, 1층101호 (수월동)"
옥포아주,경상남도 거제시 거제대로 3587
장승포,"경상남도 거제시 능포로 108, 102동 106호 (능포동, 동헌하이츠)"
거창,경상남도 거창군 거창읍 중앙로 182 (대동리)
김해내동,"경상남도 김해시 금관대로 1340, 1층 (내동)"
김해어방,"경상남도 김해시 인제로 146, 1층 (어방동)"
김해율하,경상남도 김해시 율하2로 122 122
김해진영,"경상남도 김해시 진영읍 장등로19번길 85, 1층 (진영리)"
장유,경상남도 김해시 능동로 15-1 (삼문동)
밀양,경상남도 밀양시 백민로1길 1 (내이동)
사천,경상남도 사천시 사천읍 진삼로 1389 (사주리)
양산물금,경상남도 양산시 물금읍 범구로 42 (범어리)
양산웅상,경상남도 양산시 웅상대로 1257 (삼호동)
양산중부,경상남도 양산시 양산역로 103 (중부동)
진주경상대,경상남도 진주시 진주대로 624-4 (가좌동)
진주교대,경상남도 진주시 진양호로 392 (신안동)
진주초전,경상남도 진주시 대신로 476
마산교방,경상남도 창원시 마산합포구 북성로 48 리바트오피스 1층
마산내서,경상남도 창원시 마산회원구 내서읍 경남대로 987-1 도미노피자
마산산호,경상남도 창원시 마산합포구 합포로 242
마산월영,경상남도 창원시 마산합포구 월영남로 2
진해용원,경상남도 창원시 진해구 용원로 55 (용원동)
진해충무,"경상남도 창원시 진해구 충장로 164 (충무동, 도미노피자)"
창원반송,경상남도 창원시 성산구 반송로 44-1
창원북면,경상남도 창원시 의창구 북면 동전로110번길 4 우리마트 감계점 앞(감계리 56-11)
창원상남,"경상남도 창원시 성산구 마디미동로 58, 103호 (상남동, 골든벨II빌딩)"
창원성주,"경상남도 창원시 성산구 삼정자로72번길 29-1 (성주동, 창원 LAIM PLAZA 빌딩)"
창원소답,경상남도 창원시 의창구 의안로2번길 5
통영서호,경상남도 통영시 중앙로 100-1 (서호동)
통영죽림,"경상남도 통영시 광도면 신죽2길 4 (죽림리, 위너스빌딩)"
경산사동,경산북도 경산시 원효로 202(사동)
경산중방,경상북도 경산시 경안로 249 (중방동)
하양,경상북도 경산시 하양읍 대경로 657 (금락리)
경주보문,"경상북도 경주시 보문로 549, 보문프라자 104호 (천군동)"
경주성건,"경상북도 경주시 금성로395번길 3 (성건동, 서라벌빌딩)"
구미도량,경상북도 구미시 야은로 413 (도량동)
구미상모,경상북도 구미시 상모로 29 (상모동)
구미옥계,경상북도 구미시 옥계북로 86 (옥계동)
구미인동,경상북도 구미시 삼일로 12 (진평동)
김천성내,경상북도 김천시 자산로 188-1 (성내동)
김천혁신,"경상북도 김천시 혁신6로 63 106호,107호"
문경,경상북도 문경시 모전로 108 (모전동)
상주서문,경상북도 상주시 삼백로 120 (서문동)
안동,경상북도 안동시 경동로 638 (천리동)
영주,"경상북도 영주시 구성로 325 (영주동, 도미노피자)"
영천,경상북도 영천시 망정1길 4 (망정동) 망정동 175-15
경북신도청,경북 예천군 호명면 수변로 125 (서진타워) 106호
왜관,경상북도 칠곡군 왜관읍 중앙로 109 (왜관리)
포항시청,경상북도 포항시 남구 대이로 68
포항오천,경상북도 포항시 남구 오천읍 북원로 10
포항장량,경상북도 포항시 북구 새천년대로1249번길 46 (장성동)
포항죽도,경상북도 포항시 북구 양학천로 179-1 (죽도동)
포항학산,경상북도 포항시 북구 학산로 65-1 65-1 (학산동)
포항흥해,"경상북도 포항시 북구 흥해읍 초곡지구로 68 1층 103호,104호"
대구효목,대구광역시 동구 동부로 204
봉덕,대구광역시 남구 봉덕로 66 (봉덕동)
