지점명,주소,lat,lng
충남대점,대전광역시 유성구 궁동 400-4,36.3628983,127.350311
파르나스몰점,서울특별시 강남구 테헤란로521 B1층 파르나스몰,37.509545,127.0608688
피나클강남구청역점,서울시 강남구 학동로 343 B108호,37.5174482,127.0406303
한남순천향점,서울 용산구 한남동 636-7,37.5332109,127.0051513
한티역점,서울 강남구 대치동 938,37.4974383,127.0546508
홈플러스목동점,서울 양천구 목동서로 170 지상 1층,37.5302448,126.8733001
홍대입구점,서울 마포구 홍익로15,37.5537639,126.9229774
세종새롬점,새롬동 588,36.4848728,127.2508714
세종시청점,세종시 남세종로 454번지,36.477252,127.2897062
세종아름점,세종특별자치시 보듬3로 91,36.5113452,127.2495907
울산공업탑점,울산 남구 신정동 1233-7,35.5323347,129.3089233
울산대점,울산 남구 무거동 617-3,35.5446977,129.2609136
울산삼산점,울산시 남구 삼산동 1522-1,35.5401328,129.336305
울산성남점,울산 중구 성남동 243-4,35.5547646,129.3204543
울산신천점,울산 북구 매산1로 17,35.6349816,129.3557742
울산일산점,울산 동구 방어진순환도로 621,35.4972432,129.4275158
송도점,인천 연수구 송도동 3-6 아크리아1 제1층 106호,37.3946258,126.651099
송도타임스페이스점,인천 연수구 하모니로 158 A동,37.3832893,126.6422608
인천계양구청점,인천광역시 계양구 용종동 210-6,37.5382443,126.7375505
인천구월점,인천 남동구 예술로 126 제1층 110호,37.4451296,126.7008867
인천구월힐캐슬점,인천광역시 남동구 구월로 212,37.4560189,126.7140509
인천논현점,인천시 남동구 논현동 631-11에스닷몰 1층 101호,37.4018817,126.7237904
인천부평점,인천광역시 부평구 부평대로36번길 8,37.4944977,126.7234347
인천신포점,인천 중구 개항로 33,37.4718674,126.6264172
인하대점,인천 미추홀구 인하로77번길 22,37.4520636,126.6575101
청라국제업무단지점,인천 서구 청라한내로100번길 10 청라큐브시그니처 109호,37.533821,126.6285605
청라커널웨이점,인천광역시 서구 청라동 162-10,37.5338021,126.6529142
현대아울렛송도점,인천 연수구 송도국제대로 123 현대프리미엄 아울렛 송도점,37.3816291,126.657917
광양중마점,전남 광양시 공영로 78,34.9356914,127.6975329
순천대점,전남 순천시 중앙로 268,34.9696228,127.4841347
순천신대점,전남 순천시 해룡면 향매로 59,34.9346455,127.5461465
순천연향점,전남 순천시 연향3로 11,34.950915,127.5168796
여수해양공원점,전남 여수시 이순신 광장로 191-3,34.7386161,127.7440497
차없는거리점,전남 목포시 영산로75번길 22,34.7910693,126.384281
군산수송점,전북 군산시 수송로 200,35.9637656,126.7175037
익산모현점,전북 익산시 모현동1가 840,35.9518217,126.9386415
익산영등점,전북 익산시 무왕로 1040,35.9581512,126.9723575
전북대점,전라북도 전주시 덕진구 권삼득로 311,35.8436074,127.1278732
전북도청점,전라북도 전주시 완산구 홍산남로 62,35.8155924,127.1087689
전주객사점,전북 전주시 완산구 고사동 42-4,35.8201441,127.1457118
전주에코시티점,전북 전주 덕진구 송천동2가 1301-2,35.8791133,127.1340538
전주평화점(오픈예정),전북 전주시 완산구 평화동2가 890-1 102호,35.787211,127.1311813
서귀포중앙점,제주특별자치도 서귀포시 중앙로 72,33.2510632,126.5614808
신제주연동점,제주 제주시 신대로 14길 52,33.4879956,126.4908824
제주공항점(오픈예정),제주 제주시 공항로 2 1층,33.5059364,126.4959513
제주삼화지구점,제주 제주시 건주로4길 6-1,33.5161025,126.5799027
제주시청점,제주특별자치도 제주시 서광로 301,33.5008259,126.5284354
계룡엄사점,충남 계룡시 엄사면 엄사중앙로 108 102호,36.2899506,127.2427896
당진점,충남 당진시 당진중앙2로 103-15,36.8944036,126.6299859
서산호수공원점,충남 서산시 호수공원10로 35,36.7740466,126.4490562
아산배방점,충남 아산시 배방읍 배방로 33,36.7739947,127.054829
아산터미널점,충남 아산시 번영로 216,36.7842299,127.0145219
천안성정점,충남 천안시 서북구 성정공원3길 4,36.8261598,127.1413382
천안신방점,충청남도 천안시 동남구 신방동 887,36.7917994,127.1293358
천안신불당점,충청남도 천안시 서북구 불당25로 142 골든프라자,36.8138052,127.1076283
천안청당점,청당동 491,36.7836246,127.1527904
천안터미널점,충남 천안시 동남구 신부동 462-5,36.8186486,127.1573679
가경터미널점,충청북도 청주시 흥덕구 강서로 118,36.624756,127.429691
청주오송점,충북 청주시 흥덕구 오송읍 오송생명로 210 101호,36.6302498,127.3320623
청주율량점,충청북도 청주시 청원구 주성로279번길 22,36.6713267,127.4976071
청주지웰시티점,충북 청주시 흥덕구 복대동 545-8번지,36.6406067,127.4274454
